what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1520348899407
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1520348899407
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1520348899407
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1520348899407
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1520348899407
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1520348899407
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1520348899407
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1520348899407
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1520348899500
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1520348899516
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1520348899578
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1520348899578
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1520348899578
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1520348899578
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1520348899578
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1520348899578
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1520348899578
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1520348899610
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1520348899610
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1520348899625
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1520348899657
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1520348899657
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1520348899657
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1520348899657
started,bundle,org.eclipse.m2e.core,1.2.0.20120903-1050,"org.eclipse.m2e.core",1520348899657
started,bundle,org.eclipse.m2e.jdt,1.2.0.20120903-1050,"org.eclipse.m2e.jdt",1520348899688
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1520348899703
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1520348899719
started,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1520348899750
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1520348899766
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1520348899782
started,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1520348899828
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1520348899875
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1520348899922
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1520348899922
os,sysinfo,,,"win32",1520348899922
arch,sysinfo,,,"x86_64",1520348899922
ws,sysinfo,,,"win32",1520348899922
locale,sysinfo,,,"en_US",1520348899922
processors,sysinfo,,,"6",1520348899922
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1520348899922
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1520348899922
java.specification.name,sysinfo,,,"Java Platform API Specification",1520348899922
java.specification.vendor,sysinfo,,,"Oracle Corporation",1520348899922
java.specification.version,sysinfo,,,"1.7",1520348899922
