what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520808375328
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1520808377551
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520808378516
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1520808390259
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520808405245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1520808406977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520808415460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520808752431
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520808755474
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1520808755679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520808759890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520808759964
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520808759993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1520808760929
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1520809065440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520809065459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520809095323
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520809098839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520809102663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520809117807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1520809117827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1520809117827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520809716414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520848573411
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520848583786
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520848709645
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520848711364
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520848711442
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520848712599
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520848712599
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520848712614
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520848712614
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520848712630
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520848712630
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520848712645
started,bundle,org.eclipse.m2e.core.ui,1.2.0.20120903-1050,"org.eclipse.m2e.core.ui",1520849065342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520849069185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520849076826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520849080842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520849096217
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520849096342
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520849096373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520849305084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520849305194
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1520849376803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520849376819
