what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1520353443217
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1520353446885
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1520353450764
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1520353450849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353452296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353452296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353452415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353482893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353531461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353543524
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520353545258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1520353560758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353561461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353565381
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1520353567533
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520353568799
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1520353582331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353583726
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1520353584084
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520353584135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353593532
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520353595282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353639235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353641845
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1520353641845
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520353643673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353644548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353652704
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1520353652720
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520353654391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353699329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353702407
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1520353702423
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520353703657
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1520353704891
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520353706563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353717376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353733751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353734798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520353736360
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1520353736391
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520353742610
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1520353748324
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1520353753549
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520353754183
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1520353761701
