what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1520161668107
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1520161668123
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1520161668154
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1520161668170
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1520161668185
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1520161668201
started,bundle,org.eclipse.m2e.core,1.2.0.20120903-1050,"org.eclipse.m2e.core",1520161668201
started,bundle,org.eclipse.m2e.jdt,1.2.0.20120903-1050,"org.eclipse.m2e.jdt",1520161668232
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1520161668248
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1520161668248
started,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1520161668310
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1520161668357
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1520161668373
started,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1520161668435
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1520161668451
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1520161668482
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1520161668482
os,sysinfo,,,"win32",1520161668482
arch,sysinfo,,,"x86_64",1520161668482
ws,sysinfo,,,"win32",1520161668482
locale,sysinfo,,,"en_US",1520161668482
processors,sysinfo,,,"6",1520161668482
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1520161668482
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1520161668482
java.specification.name,sysinfo,,,"Java Platform API Specification",1520161668482
java.specification.vendor,sysinfo,,,"Oracle Corporation",1520161668482
java.specification.version,sysinfo,,,"1.7",1520161668482
java.vendor,sysinfo,,,"Oracle Corporation",1520161668482
java.version,sysinfo,,,"1.7.0_13",1520161668482
java.vm.info,sysinfo,,,"mixed mode",1520161668482
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1520161668482
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1520161668482
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1520161668482
java.vm.specification.version,sysinfo,,,"1.7",1520161668482
java.vm.vendor,sysinfo,,,"Oracle Corporation",1520161668482
java.vm.version,sysinfo,,,"23.7-b01",1520161668482
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1520161668732
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1520161668982
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1520161669076
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520161671435
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520161681170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520161681263
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520161725904
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520161726076
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520161726170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520161740701
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520161740701
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520161741795
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520161742045
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520161742170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520161810232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520161810263
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1520161810341
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1520161840935
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1520161841154
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1520161842185
