what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520807101481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1520807107467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520807107745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520807114510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1520807123355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1520807125146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1520807127734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1520807129757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1520807131508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520807131825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520807147154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520807174743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520807193507
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520807196334
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520807197190
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520807207067
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1520807208241
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1520807209653
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1520807217885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520807217901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520807219141
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520807220841
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520807220902
